IC_1,IC_2
-0.016982711788653918,0.009168865907364576
-0.0182393884580457,0.008979636389751956
-0.019484189912380948,0.008777473108421703
-0.0207006480520425,0.008543561932392738
-0.021872513928385934,0.008262588100325496
-0.022984116485299504,0.007923603380456612
-0.024020708568622134,0.007520670616375015
-0.0249685712995538,0.007052946688189021
-0.025815263341329803,0.006523811265651418
-0.02654952105514824,0.00594034679167342
-0.02716121250363908,0.005311709170122927
-0.027641407219979403,0.004648210581746229
-0.02798232315376132,0.00396001402915523
-0.028177089891610396,0.0032560590226073183
-0.028220065055158068,0.002543269012400028
-0.028106666398212438,0.0018262359353073568
-0.0278336934379457,0.001106705564389368
-0.027399458795146506,0.0003842132095603714
-0.02680400790480849,-0.00034355985539596295
-0.02604956542764417,-0.0010798625126133294
-0.0251405280156167,-0.0018282949808691616
-0.024083985711992464,-0.0025910056870863353
-0.022889551905093754,-0.003368527735796972
-0.021569584543611194,-0.004158718154222132
-0.020138893657520338,-0.004956430814595171
-0.018614425810440555,-0.005753427397634583
-0.017014612744477794,-0.006539247805944494
-0.015358804644957924,-0.007301578517429301
-0.013666299019799462,-0.008027651203242078
-0.011955791113586899,-0.008705495819018532
-0.010244387715730866,-0.009325344047157628
-0.008547189438449605,-0.009880276449752666
-0.006876665631689542,-0.010367579381192503
-0.005242713647986799,-0.010788275743149474
-0.00365233548442392,-0.011147556094102628
-0.0021099662118207363,-0.011453872304389334
-0.0006177251778057633,-0.011718204958288556
0.0008243374542854403,-0.011953136849956032
0.002217592500898412,-0.012171460778174886
0.0035644467532604256,-0.012385402378783935
0.004867941243747565,-0.012605420380646845
0.00613106120207759,-0.012839461437504142
0.00735626394426205,-0.013092123419956823
0.00854510422441419,-0.013364542048514871
0.009697794961879752,-0.013654283362466388
0.010813041838963821,-0.01395544549642485
0.011888043856641326,-0.01425949069161308
0.01291871070494563,-0.014556021133788306
0.013899920406749424,-0.014833764609291889
0.014826087444758565,-0.015081579147028077
0.015691723044205016,-0.01528952997649575
0.016491840215169765,-0.015449419235851816
0.017222552776305237,-0.015555439712873412
0.017881073798237487,-0.015604299004045306
0.01846607842081437,-0.015595044308077923
0.018977595362430953,-0.015529143416210875
0.019416783043907534,-0.015409542718649086
0.019785682622517987,-0.015240684949223798
0.020087125950749803,-0.01502767160495295
0.02032417723054901,-0.014775945053736129
0.020499989472042273,-0.014490866941322888
0.020617509875714986,-0.014177442126427152
0.020679359891728345,-0.013840204400287956
0.020687685979164008,-0.013483009772850009
0.02064401925191312,-0.013109267709379535
