IC_1,IC_2,IC_3,IC_4,IC_5
-0.07444793342088006,-0.026657344349344254,0.009148845614591075,0.018401068643416542,-0.05022228479076901
-0.07391388398849659,-0.02798846170218779,0.010795530774718008,0.013410917073032392,-0.05213351647960288
-0.0764705721846767,-0.028696112678295967,0.018269804167129686,0.007973532371172794,-0.05484864198450493
-0.07710274969455723,-0.02629121297932499,0.021006997910585568,0.005112665953763634,-0.055700921284569965
-0.0805626099537989,-0.022216148960497593,0.028661421425570124,0.00020637309800139377,-0.05548254232371897
-0.08198824105750178,-0.01861123271725237,0.03145685741845497,-0.002864477795323134,-0.05592567166283937
-0.08477007355004575,-0.014250392790853876,0.03795629333339391,-0.007736802253901781,-0.0549951397871138
-0.0830049778661947,-0.006400769507040661,0.04816517530136034,-0.013434268586152818,-0.048626070248857255
-0.08426790878801703,-0.002346788388968518,0.05096836587428143,-0.015674679370144728,-0.049456732518249794
-0.0849916604125858,0.001760114027924995,0.053593683296580395,-0.018244061112650593,-0.049707402218545825
-0.08572196418234956,0.006220876246589235,0.055794928417851386,-0.020818628533556396,-0.049304993778913106
-0.08555168144770389,0.010413812553521586,0.05713034663963374,-0.023908777930583866,-0.04858934710014891
-0.08459883961862093,0.013969216176760621,0.058119728579328074,-0.026776927058019272,-0.04807479215178832
-0.08353736356026649,0.017027303539376974,0.057171413261385716,-0.02954673054810363,-0.047294239010159486
-0.08208790107222012,0.020062230159532304,0.05492393432228162,-0.03239094681417007,-0.04637877124010275
-0.08075377472140009,0.02434770993405807,0.051774249350872915,-0.035343776832237966,-0.0455549551978301
-0.07945159444253379,0.027618830697462925,0.04722084273347133,-0.038032061276406876,-0.04413181138261867
-0.07813857407839365,0.03085693942664414,0.04128844868116526,-0.040718419874411466,-0.04229775641454256
-0.07650160850246203,0.033412747440518184,0.03294794871061977,-0.04318043689003818,-0.0397648880202422
-0.07586870439183793,0.036156844925456254,0.023489415000657314,-0.04517918636134788,-0.037042038231573975
-0.07602265783672298,0.03784593387936758,0.009534961897067972,-0.04857936743869329,-0.03405183193091312
-0.07572309549441861,0.03940831503082845,0.0007834229751954504,-0.050463289087504276,-0.031352004249018336
-0.07664160232133946,0.041747492019378406,-0.008606384534056972,-0.05303757557594347,-0.0289544853850648
-0.0766773224482023,0.04313074813499104,-0.018384971261616763,-0.054175826748385184,-0.025943885165347607
-0.0752400144113027,0.03823843735412094,-0.032495607723646756,-0.056794705447257704,-0.02042884301135373
-0.07559870568716136,0.03759789968509917,-0.0400027512965815,-0.05708821408120074,-0.017393939566636794
-0.07576764696034165,0.03467830410017152,-0.04665839295594297,-0.057479048064760625,-0.012972884807285114
-0.07553357924842789,0.029570963436502496,-0.051146634550463255,-0.05854989060937888,-0.008737461419389986
-0.07504388445287981,0.023981853828765477,-0.05420934428297443,-0.05931611905128736,-0.004356305991137463
-0.07421333956441215,0.006673032630626054,-0.052299531563086386,-0.06440631595300765,0.003547037471889263
-0.07275257088962772,0.0036855888253221566,-0.05547536023083156,-0.062485144556234745,0.00696221232927762
-0.07269103289104258,-0.014580998746909393,-0.050519679341153256,-0.06488916484758653,0.015219899062349721
