BodyCOGlab_X,BodyCOGlab_Y,BodyCOGlab_Z,RANKLE_JC_X,RANKLE_JC_Y,RANKLE_JC_Z,RKNEE_JC_X,RKNEE_JC_Y,RKNEE_JC_Z,RHIP_JC_X,RHIP_JC_Y,RHIP_JC_Z,LANKLE_JC_X,LANKLE_JC_Y,LANKLE_JC_Z,LKNEE_JC_X,LKNEE_JC_Y,LKNEE_JC_Z,LHIP_JC_X,LHIP_JC_Y,LHIP_JC_Z,LSHOULDER_JC_X,LSHOULDER_JC_Y,LSHOULDER_JC_Z,RSHOULDER_JC_X,RSHOULDER_JC_Y,RSHOULDER_JC_Z
0.0,0.0,0.0,-0.18748748302459717,0.03700876235961914,-0.616072878241539,-0.1247987151145935,-0.21793174743652344,-0.268921434879303,-0.08558487892150879,0.14965486526489258,-0.013861775398254395,0.1335204839706421,0.0814199447631836,-0.6117645055055618,0.13486433029174805,-0.18629217147827148,-0.2743526101112366,0.1182481050491333,0.1639113426208496,0.01370471715927124,0.12759923934936523,-0.18741893768310547,0.3557446002960205,-0.16349399089813232,-0.18985605239868164,0.33004069328308105
0.0,0.0,0.0,-0.1872847080230713,0.03745460510253906,-0.6159808784723282,-0.12455344200134277,-0.2170872688293457,-0.26875895261764526,-0.0859951376914978,0.14993000030517578,-0.013225674629211426,0.13376295566558838,0.08180618286132812,-0.6116838604211807,0.1353135108947754,-0.18522167205810547,-0.27390187978744507,0.11796069145202637,0.1647186279296875,0.014398515224456787,0.12770509719848633,-0.18768072128295898,0.35520195960998535,-0.16338729858398438,-0.19039297103881836,0.3295154571533203
0.0,0.0,0.0,-0.1870741844177246,0.0378870964050293,-0.6159364730119705,-0.12430661916732788,-0.2162790298461914,-0.26864296197891235,-0.08638709783554077,0.15025711059570312,-0.012672185897827148,0.13397932052612305,0.08219480514526367,-0.6116602718830109,0.1357642412185669,-0.18412017822265625,-0.2735016345977783,0.11766195297241211,0.16550207138061523,0.014972984790802002,0.1278061866760254,-0.18787527084350586,0.3547484874725342,-0.16328537464141846,-0.1908435821533203,0.32908010482788086
0.0,0.0,0.0,-0.18686789274215698,0.0383143424987793,-0.6159373894333839,-0.12405276298522949,-0.21551895141601562,-0.2685750126838684,-0.08676081895828247,0.15064144134521484,-0.012201368808746338,0.13417208194732666,0.08258724212646484,-0.611693263053894,0.1361926794052124,-0.18299293518066406,-0.27315568923950195,0.11735808849334717,0.16626739501953125,0.015428125858306885,0.12790310382843018,-0.1880049705505371,0.354381799697876,-0.16318762302398682,-0.1912088394165039,0.32873404026031494
0.0,0.0,0.0,-0.18667465448379517,0.03873729705810547,-0.6159817203879356,-0.123787522315979,-0.2148127555847168,-0.26855555176734924,-0.08711761236190796,0.15108633041381836,-0.01181107759475708,0.1343441605567932,0.08298635482788086,-0.6117818355560303,0.13657432794570923,-0.18184661865234375,-0.27287113666534424,0.11705440282821655,0.16701984405517578,0.015766620635986328,0.12799686193466187,-0.18807125091552734,0.3541012406349182,-0.16309356689453125,-0.19148969650268555,0.32847756147384644
0.0,0.0,0.0,-0.18649721145629883,0.03916025161743164,-0.6160674393177032,-0.12350773811340332,-0.21416521072387695,-0.26858407258987427,-0.08745968341827393,0.1515941619873047,-0.011496543884277344,0.13449883460998535,0.08339738845825195,-0.6119236797094345,0.1368851661682129,-0.18068885803222656,-0.2726562023162842,0.11675548553466797,0.16776800155639648,0.015994906425476074,0.12808847427368164,-0.18807220458984375,0.3539067506790161,-0.16300201416015625,-0.19168663024902344,0.3283100128173828
0.0,0.0,0.0,-0.1863347291946411,0.03958415985107422,-0.6161929816007614,-0.1232156753540039,-0.2135791778564453,-0.26865917444229126,-0.08778935670852661,0.15215682983398438,-0.011251389980316162,0.13464093208312988,0.08381938934326172,-0.612116664648056,0.13710463047027588,-0.17953205108642578,-0.27251774072647095,0.11646378040313721,0.1685185432434082,0.016121506690979004,0.12817847728729248,-0.18800687789916992,0.3537992238998413,-0.16291207075119019,-0.1918034553527832,0.3282294273376465
0.0,0.0,0.0,-0.18618357181549072,0.04001188278198242,-0.6163565963506699,-0.12291496992111206,-0.21305179595947266,-0.2687791585922241,-0.08810865879058838,0.15276718139648438,-0.011066675186157227,0.13477462530136108,0.08425664901733398,-0.6123582720756531,0.1372169852256775,-0.1783905029296875,-0.2724590003490448,0.11618047952651978,0.169281005859375,0.0161551833152771,0.12826699018478394,-0.18787193298339844,0.3537789583206177,-0.1628233790397644,-0.19183921813964844,0.32823336124420166
0.0,0.0,0.0,-0.18604034185409546,0.040445804595947266,-0.6165574491024017,-0.12261062860488892,-0.21257734298706055,-0.2689424157142639,-0.08841937780380249,0.15340757369995117,-0.010931551456451416,0.13490146398544312,0.08471059799194336,-0.6126455515623093,0.13721126317977905,-0.17727899551391602,-0.2724803388118744,0.11590677499771118,0.17006301879882812,0.016104936599731445,0.12835365533828735,-0.18766355514526367,0.3538452386856079,-0.16273611783981323,-0.19179773330688477,0.32831871509552
0.0,0.0,0.0,-0.18589919805526733,0.04089021682739258,-0.6167954131960869,-0.1223069429397583,-0.21215248107910156,-0.269148051738739,-0.0887225866317749,0.15406084060668945,-0.010834574699401855,0.13502442836761475,0.08517980575561523,-0.6129766702651978,0.13708281517028809,-0.17621326446533203,-0.27257925271987915,0.11564302444458008,0.17087030410766602,0.01597803831100464,0.12843799591064453,-0.18738079071044922,0.35399532318115234,-0.16265040636062622,-0.1916818618774414,0.3284815549850464
0.0,0.0,0.0,-0.18575561046600342,0.04134654998779297,-0.6170714870095253,-0.12200736999511719,-0.21176576614379883,-0.2693963348865509,-0.08901864290237427,0.15470457077026367,-0.010763823986053467,0.1351448893547058,0.08566570281982422,-0.6133483648300171,0.13683205842971802,-0.17520809173583984,-0.2727510929107666,0.11538845300674438,0.1717085838317871,0.015780985355377197,0.12851935625076294,-0.18701982498168945,0.3542250990867615,-0.16256707906723022,-0.19149208068847656,0.3287181258201599
